Restaurant,Cuisine,Budget,Aesthetics,Type,Diet,Rating,pic,url,latitude,longitude,address
Burger King,American,Medium,6.5,Both,Fast Food,4.3,https://b.zmtcdn.com/data/reviews_photos/c47/6ccc7a3ba7b28dcb95d6b3d3f5fd5c47_1593273168.jpg,https://www.zomato.com/visakhapatnam/burger-king-asilmetta-vizag/order,17.7219508,83.3065007,"near GVMC Office, Asilmetta Junction, Ram Nagar"
Cafe Military,South Indian,Cheap,5,Both,Moderate,4.2,https://b.zmtcdn.com/data/pictures/3/2801343/32320f12898866e96212a08b55e9e1fb.jpg,https://www.zomato.com/visakhapatnam/cafe-military-venkojipalem-vizag/order,17.7444036,83.3237606,"JR Nagar, SadaramComplex, Venkojipalem"
Pizza Hut,American,Medium,6.5,Both,Fast Food,4,https://b.zmtcdn.com/data/pictures/chains/2/2800012/a32bffd7a846b6cfd5475ce56a6daca1.jpg,https://www.zomato.com/visakhapatnam/pizza-hut-dwaraka-nagar-vizag/order,17.7264211,83.3049801,"Khajana Towers, Isnar, 2nd Ln, Dwaraka Nagar"
Shree Shyam,North Indian,Cheap,3,Veg,Moderate,3.8,https://b.zmtcdn.com/data/pictures/3/2800143/3b4d7bdc012a95ebdd0606a14342131c.jpg,https://www.zomato.com/visakhapatnam/shree-shyam-restaurant-allipuram-vizag,17.7156674,83.3015816,"30-11-2, Daba Gardens, 11-2, Lakshmi St"
Somaa Restobar,Continental ,Expensive ,8.5,Both,Moderate,4.4,https://b.zmtcdn.com/data/pictures/2/2801682/3615a91e6d004ba3a25d4ae593caeebe.jpg,https://www.zomato.com/visakhapatnam/somaa-restobar-4-asilmetta-vizag,17.7269462,83.3163292,"4TH FLOOR, VIP CENTER, VIP Rd, Siripuram"
Home Food Co.,South Indian,Medium,4,Veg,Moderate,3.9,https://b.zmtcdn.com/data/pictures/chains/3/19512683/414da0a368ed97ef7aa60117602751cd.jpg,https://www.zomato.com/visakhapatnam/home-food-co-1-mvp-colony-vizag/order,17.7417277,83.3345968,"Opposite Rythu Bazar, Sector 4, Sector 3, MVP Colony"
KFC,American,Medium,6,Both,Fast Food,4.1,https://b.zmtcdn.com/data/pictures/chains/4/2800014/7420ab98abc5947cb83e370bdf75433c.jpg?output-format=webp,https://www.zomato.com/visakhapatnam/kfc-1-asilmetta-vizag/order,17.7240657,83.3085855,"DN 8/1/20/A, Vinayagar ,  RTC Complex "
Hote V Pride,North Indian,Expensive ,5,Both,Moderate,3,https://b.zmtcdn.com/data/reviews_photos/d9e/3b66e43c89783ec8d14e18228c153d9e_1607589965.jpg,https://www.zomato.com/visakhapatnam/hotel-v-pride-allipuram-vizag/order,17.7188662,83.3033472,"# 29, 8-2, opp. BSNL OFFICE, Lalitha Colony, Daba Gardens"
Real Deepak Punjabi Dhaba,North Indian,Medium,6,Both,Moderate,3.8,https://b.zmtcdn.com/data/pictures/chains/8/2800398/3512f572f7e37b6d85676db0cc0c6bfd.jpeg?output-format=webp,https://www.zomato.com/visakhapatnam/real-deepak-punjabi-dhaba-ram-nagar-vizag/order,17.7240006,83.3097728,"Tirumala Arcade,Opp. Hotel Meghalaya, Asilmetta Junction"
The Spicy Venue,North Indian,Medium,6,Both,Moderate,4.3,https://b.zmtcdn.com/data/reviews_photos/d62/cc0f7028464bfd342bb9236727459d62_1542465943.jpg?output-format=webp,https://www.zomato.com/visakhapatnam/the-spicy-venue-siripuram-vizag/order,17.7247225,83.3185252,"Siripuram Cir, Balaji Nagar"
Inavars,North Indian,Medium,5,Both,Moderate,4.2,https://b.zmtcdn.com/data/pictures/chains/4/20347874/e661c3255adeaa17ea2eb9bea7482b6f.jpg,https://www.zomato.com/visakhapatnam/inavars-waltair-uplands-vizag/order,17.7203402,83.3131357,"Beside Care Hospital, Ram Nagar"
CakeZone,Bakery,Cheap,4,Veg,Moderate,4.2,https://b.zmtcdn.com/data/pictures/chains/4/19490874/2ebcc5e7b26d136916ae852ae01a976c.jpg,https://www.zomato.com/visakhapatnam/cakezone-dwaraka-nagar-vizag/order,17.7273275,83.3052824,"1st floor, D.NO:47-9, 26, 3rd Ln, Dwaraka Nagar"
Kamat Takeaway,South Indian,Medium,3.5,Both,Moderate,3.9,https://b.zmtcdn.com/data/pictures/2/2800392/39733a51923278db60c04cbca093dea7.jpg,https://www.zomato.com/visakhapatnam/kamat-takeaway-siripuram-vizag/order,17.7219724,83.3182884,"Vuda Complex, Waltair Club Rd, Siripuram"
Eaters Stop,South Indian,Medium,8,Both,Moderate,3.6,https://b.zmtcdn.com/data/pictures/2/18986542/3900d7ffb12d838a1120c70b06978193.jpg?output-format=webp,https://www.zomato.com/visakhapatnam/eaters-stop-dwaraka-nagar-vizag/order,17.7387642,83.3041255,"Before Sankara Matam Rd, Balayya Sastri Layout"
Celebrations Restaurant,Continental ,Medium,7.5,Both,Moderate,3.9,https://b.zmtcdn.com/data/pictures/7/19880257/5ebf431fd17010402571cc527630c8df.jpg,https://www.zomato.com/visakhapatnam/celebrations-restaurant-akkayyapalem-vizag/order,17.7398371,83.2956134,"D.no.45-56-1/5, GSP Complex,Akkayyapalem"
Full Moon Delight,South Indian,Cheap,2,Non Veg,Moderate,3.5,https://files.yappe.in/place/small/fullmoondelight-cloud-kitchen-4611640.webp,https://www.zomato.com/visakhapatnam/full-moon-delight-venkojipalem-vizag,17.7439391,83.324767," beside MUSCLE PLANET GYM, Bhanu Nagar, H B Colony"
The Lassi Shop,Beverages,Cheap,3,Both,Healthy,3.8,"https://b.zmtcdn.com/data/pictures/8/20488408/540b3c8af294d27f711222c0b20316db.jpg?fit=around|960:500&crop=960:500;*,*",https://www.zomato.com/visakhapatnam/the-lassi-shop-mvp-colony-vizag/order,17.7426698,83.3293491,"Sector 1 ,MVP double road, MVP Main Rd"
Red Pepper Family Restaurant,North Indian,Medium,4.5,Both,Moderate,3.4,https://lh3.googleusercontent.com/p/AF1QipOrqRY0vWEPLE4cRDz7evHsEhbrwIxWwKiyoHqw=s680-w680-h510,https://www.zomato.com/visakhapatnam/red-pepper-family-restaurant-balayya-sastri-layout-vizag/order,17.734787,83.3130186,"near SATYAM JUNCTION, Satyam Junction, Nakkavanipalem"
Chutneys Diamond Park,South Indian,Medium,6,Veg,Moderate,3.7,https://lh3.googleusercontent.com/p/AF1QipNFadcSglKGth8mKh5N5eYSeL9OQp0qpUiIV0ko=s680-w680-h510,https://www.zomato.com/visakhapatnam/chutneys-diamond-park-dwaraka-nagar-vizag/order,17.7268031,83.3019237,"Ground floor, beside Fortune Srikanya Hotel"
Lassi Shop,Beverages,Cheap,3,Both,Healthy,3.6,"https://b.zmtcdn.com/data/pictures/3/18703373/171e9c95fce9b48d55c4e5da3950cc37.jpg?fit=around|750:500&crop=750:500;*,*",https://www.zomato.com/visakhapatnam/lassi-shop-maharani-peta-vizag/order,17.7109745,83.3155352,"Chikoti Garden Rd, Krishna Nagar, Pandurangapuram"
Sri Sairam Parlour,South Indian,Medium,6.5,Veg,Moderate,4.3,https://b.zmtcdn.com/data/reviews_photos/eb4/c117c0eed72ca76846c7d3536e837eb4_1606385325.jpg,https://www.zomato.com/visakhapatnam/sri-sairam-parlour-dwaraka-nagar-vizag/order,17.7261774,83.3032782,"Opposite Diamond Park, Dondaparthy, Dwaraka Nagar"
Grill Citi,grill,Cheap,4,Both,Fast Food,3.9,https://content.jdmagicbox.com/comp/visakhapatnam/s3/0891px891.x891.171108160156.p4s3/catalogue/grill-citi-lawsons-bay-colony-visakhapatnam-restaurants-iq8q320pzh-250.jpg,https://www.zomato.com/visakhapatnam/grill-citi-lawsons-bay-vizag/order,17.7315181,83.3410012,"Sarovar Apartment, 105, Lawsons Bay Colony, Pedda Waltair"
Zeeshan Restaurant - Apna Hyderabadi Food,Continental ,Medium,4,Both,Moderate,4.2,https://media-cdn.tripadvisor.com/media/photo-s/13/e6/4f/90/getlstd-property-photo.jpg,https://www.zomato.com/visakhapatnam/zeeshan-restaurant-apna-hyderabadi-food-jagadamba-junction-vizag/order,17.7119043,83.3014694,"Opp Chitralaya Theater, Jagadamba Junction"
Satyam Non-Veg Restaurant,South Indian,Medium,4.5,Both,Moderate,4.2,"https://b.zmtcdn.com/data/pictures/chains/8/18788958/7ed6fc2ff8fb9ec4ae323770390fe148.jpg?fit=around|960:500&crop=960:500;*,*",https://www.zomato.com/visakhapatnam/satyam-non-veg-restaurant-dwaraka-nagar-vizag/order,17.7258891,83.3028193,"1st Lane, Railway New Colony Rd, Dwaraka Nagar"
Yasoddha Noodles Point,Chinese,Medium,2,Both,Fast Food,4.4,"https://b.zmtcdn.com/data/pictures/6/18742886/af70b6b4e9004f301970a240990ea3d5.jpg?fit=around|960:500&crop=960:500;*,*",https://www.zomato.com/visakhapatnam/yasoddha-noodles-point-lawsons-bay-vizag/order,17.7352656,83.3302117,"Sivaji park main gate, Sivajipalem Rd, City"
Paradise Biryani,South Indian,Medium,6,Both,Moderate,3.9,"https://b.zmtcdn.com/data/pictures/1/2800901/2b14d4f6419dae9a000fdc1a959773c5.jpg?fit=around|750:500&crop=750:500;*,*",https://www.zomato.com/visakhapatnam/paradise-biryani-waltair-uplands-vizag/order,17.7268473,83.3161713,"9-14-1, VIP Rd, Sector 4, BM Compound, Siripuram"
Domino's Pizza,American,Medium,5,Both,Fast Food,3.9,https://lh3.googleusercontent.com/p/AF1QipMqriWPEBWyDZxnlp-LqJEMuYLBG6Z5AsCxHhcm=s680-w680-h510,https://www.zomato.com/visakhapatnam/dominos-pizza-maharani-peta-vizag/order,17.7111239,83.3155667,"Opp Varun INOX, Grand bay hotel road"
Jai Jaganath Restaurant,South Indian,Medium,2.5,Veg,Moderate,4.1,https://files.yappe.in/place/small/jai-jagannath-restaurant-691381.webp,https://www.zomato.com/visakhapatnam/jai-jaganath-restaurant-ram-nagar-vizag/order,17.7182449,83.3090652,"Opp sevenhills hospital, Ram nagar"
New Satyam Ritz Comfort,South Indian,Medium,6,Non Veg,Moderate,3.9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/153538459.jpg?k=18eb587fd0306cd677d71e130ab44d36bbf9787d84ccbd99fecced9aa5f6e1ca&o=&hp=1,https://www.zomato.com/visakhapatnam/new-satyam-ritz-comfort-dwaraka-nagar-vizag/order,17.7271572,83.3022632,"near Diamond Park Road, Dwaraka Nagar"
Sri Siva Sai Good Foods,South Indian,Cheap,2,Veg,Healthy,3,https://content3.jdmagicbox.com/comp/visakhapatnam/i6/0891px891.x891.170809185928.b9i6/catalogue/sri-siva-sai-good-foods-jagadamba-centre-visakhapatnam-tiffin-services-38du23f.jpg,https://www.zomato.com/visakhapatnam/sri-siva-sai-good-foods-ram-nagar-vizag/order,17.7120441,83.3010334,"Poorna Market, opposite Mahendra & Co"
S Kota's Hotel Muntaj,South Indian,Medium,5,Non Veg,Moderate,3.4,https://b.zmtcdn.com/data/pictures/6/19928936/57bbbf39eb2a0515f77e03fdf61d9bb7.jpg,https://www.zomato.com/visakhapatnam/s-kotas-hotel-muntaj-venkojipalem-vizag/order,17.744002,83.3277096,"H B Colony, Visakhapatnam"
Tandoori Treats,North Indian,Medium,5,Both,Moderate,4,https://lh3.googleusercontent.com/p/AF1QipPFNA8ew6Fh11mboUOQnxi9hXWMkd17RTnbMdoL=s680-w680-h510,https://www.zomato.com/visakhapatnam/tandoori-treats-1-siripuram-vizag/order,17.7252193,83.3166975,"10-1-44/1, VIP Rd, CBM Compound, Opposite IDBI Bank"
